fips,year,parameter_85101,parameter_88101,parameter_44201,parameter_42602,parameter_42401,parameter_42101,mortality_rate,cause_id
1073,1980,28.677419,8.115652,0.062878,12.16129,11.106227,1.14495,0.354914648795656,514
1073,1981,28.677419,8.115652,0.060707,12.16129,20.28483,1.353458,0.340819223954954,514
1073,1982,28.677419,8.115652,0.050467,12.16129,13.881356,2.065746,0.338230547067967,514
1073,1983,28.677419,8.115652,0.05497,12.16129,40.673077,2.216657,0.34238578023836,514
1073,1984,28.677419,8.115652,0.050019,12.16129,40.673077,1.192255,0.342133955561118,514
1073,1985,28.677419,8.115652,0.052218,12.16129,4.53434,1.097514,0.339793370005033,514
1073,1986,28.677419,8.115652,0.052897,12.16129,5.53454,1.135352,0.347352782890243,514
1073,1987,28.677419,8.115652,0.053194,12.16129,8.370892,1.107027,0.341448108460424,514
1073,1988,28.677419,8.115652,0.056022,12.16129,8.370892,1.211625,0.339364241980671,514
1073,1989,28.677419,8.115652,0.039815,12.16129,8.370892,0.949004,0.327327809788549,514
1073,1990,28.677419,8.115652,0.058302,12.16129,7.658351,0.826396,0.321824849266805,514
1073,1991,28.677419,8.115652,0.038719,12.16129,21.635616,0.757459,0.318034489628145,514
1073,1992,28.677419,8.115652,0.046335,12.16129,21.508197,1.413691,0.313206451585159,514
1073,1993,28.677419,8.115652,0.041829,12.16129,28.449315,0.915243,0.321540937915637,514
1073,1994,28.677419,8.115652,0.035113,12.16129,23.09863,0.931624,0.330349690234771,514
1073,1995,28.677419,8.115652,0.048553,12.16129,5.582967,1.218525,0.328426848288354,514
1073,1996,28.677419,8.115652,0.045894,12.16129,12.401639,0.716037,0.336331150131578,514
1073,1997,28.677419,8.115652,0.053724,12.16129,5.727684,1.126047,0.347806822035484,514
1073,1998,33.481894,8.115652,0.048363,12.16129,6.481451,1.072602,0.361340324275499,514
1073,1999,29.339623,23.485311,0.050604,12.16129,8.685596,1.213912,0.381015421043545,514
1073,2000,29.339623,20.738483,0.049722,12.16129,9.710756,1.396021,0.387614233475707,514
1073,2001,29.339623,17.964045,0.048322,12.16129,4.09895,1.29798,0.402286210999635,514
1073,2002,29.339623,16.570787,0.04649,12.16129,4.345055,0.269959,0.405757606780541,514
1073,2003,35.709677,15.639665,0.04711,12.16129,21.28,0.556773,0.405616956938829,514
1073,2004,36.056833,15.851105,0.048735,12.16129,10.473973,0.498177,0.394386858490835,514
1073,2005,35.271865,19.602216,0.054988,12.16129,3.119726,0.442467,0.386702605256411,514
1073,2006,32.019237,18.422527,0.049127,12.16129,2.572603,0.399977,0.38746219506274,514
1073,2007,33.932889,17.716618,0.051151,12.16129,2.92011,0.513728,0.382234199510785,514
1073,2008,30.716071,15.524309,0.045098,12.16129,2.734752,0.708999,0.379064066914764,514
1073,2009,21.191413,11.341111,0.04022,12.16129,1.183043,0.511624,0.374978333989446,514
1073,2010,26.779225,13.823743,0.052053,12.16129,1.699178,0.245156,0.373577488878751,514
