fips,year,parameter_85101,parameter_88101,parameter_44201,parameter_42602,parameter_42401,parameter_42101,mortality_rate,cause_id
1073,1980,28.677419,8.115652,0.062878,12.16129,11.106227,1.14495,1.54201084552633,510
1073,1981,28.677419,8.115652,0.060707,12.16129,20.28483,1.353458,1.49274458095818,510
1073,1982,28.677419,8.115652,0.050467,12.16129,13.881356,2.065746,1.39838829435576,510
1073,1983,28.677419,8.115652,0.05497,12.16129,40.673077,2.216657,1.49752327780416,510
1073,1984,28.677419,8.115652,0.050019,12.16129,40.673077,1.192255,1.34157971347069,510
1073,1985,28.677419,8.115652,0.052218,12.16129,4.53434,1.097514,1.36616660969703,510
1073,1986,28.677419,8.115652,0.052897,12.16129,5.53454,1.135352,1.40078018841437,510
1073,1987,28.677419,8.115652,0.053194,12.16129,8.370892,1.107027,1.41552794904422,510
1073,1988,28.677419,8.115652,0.056022,12.16129,8.370892,1.211625,1.35628263298756,510
1073,1989,28.677419,8.115652,0.039815,12.16129,8.370892,0.949004,1.37992146596472,510
1073,1990,28.677419,8.115652,0.058302,12.16129,7.658351,0.826396,1.30514324755619,510
1073,1991,28.677419,8.115652,0.038719,12.16129,21.635616,0.757459,1.32633021210928,510
1073,1992,28.677419,8.115652,0.046335,12.16129,21.508197,1.413691,1.21661440376385,510
1073,1993,28.677419,8.115652,0.041829,12.16129,28.449315,0.915243,1.23459811382085,510
1073,1994,28.677419,8.115652,0.035113,12.16129,23.09863,0.931624,1.1867542996051,510
1073,1995,28.677419,8.115652,0.048553,12.16129,5.582967,1.218525,1.14481179416673,510
1073,1996,28.677419,8.115652,0.045894,12.16129,12.401639,0.716037,1.14667307988677,510
1073,1997,28.677419,8.115652,0.053724,12.16129,5.727684,1.126047,1.16021283312735,510
1073,1998,33.481894,8.115652,0.048363,12.16129,6.481451,1.072602,1.21480710381946,510
1073,1999,29.339623,23.485311,0.050604,12.16129,8.685596,1.213912,1.18800610673351,510
1073,2000,29.339623,20.738483,0.049722,12.16129,9.710756,1.396021,1.22795557338724,510
1073,2001,29.339623,17.964045,0.048322,12.16129,4.09895,1.29798,1.1847674914193,510
1073,2002,29.339623,16.570787,0.04649,12.16129,4.345055,0.269959,1.23861665361049,510
1073,2003,35.709677,15.639665,0.04711,12.16129,21.28,0.556773,1.1641219767067,510
1073,2004,36.056833,15.851105,0.048735,12.16129,10.473973,0.498177,1.1022004687174,510
1073,2005,35.271865,19.602216,0.054988,12.16129,3.119726,0.442467,1.03246113377287,510
1073,2006,32.019237,18.422527,0.049127,12.16129,2.572603,0.399977,1.08342290977908,510
1073,2007,33.932889,17.716618,0.051151,12.16129,2.92011,0.513728,0.979997834555257,510
1073,2008,30.716071,15.524309,0.045098,12.16129,2.734752,0.708999,0.921822496269327,510
1073,2009,21.191413,11.341111,0.04022,12.16129,1.183043,0.511624,0.919778617768144,510
1073,2010,26.779225,13.823743,0.052053,12.16129,1.699178,0.245156,0.893393342584361,510
1073,2011,22.595541,13.318487,0.053567,12.16129,8.433237,0.267261,0.878049824144415,510
1073,2012,19.739198,10.653039,0.050249,12.16129,5.383621,0.431751,0.849065757237697,510
1073,2013,19.681034,12.135574,0.045649,23.141935,1.073629,0.233864,0.842775206807279,510
1073,2014,20.455845,11.65957,0.047612,28.600838,1.616741,0.43275,0.851130571253895,510
1077,1980,18.546205,12.640365,0.042592,10.212486,37.669173,0.251713,0.45195403514127,510
1077,1981,18.546205,12.640365,0.042592,10.212486,37.19883,0.251713,0.449313866472404,510
1077,1982,18.546205,12.640365,0.042592,10.212486,6.897457,0.251713,0.462832457782434,510
1077,1983,18.546205,12.640365,0.042592,10.212486,5.618154,0.251713,0.488737662151673,510
1077,1984,18.546205,12.640365,0.042592,10.212486,28.112121,0.251713,0.493727227282396,510
1077,1985,18.546205,12.640365,0.042592,10.212486,4.974046,0.251713,0.517622232844851,510
1077,1986,18.546205,12.640365,0.042592,10.212486,5.056707,0.251713,0.532309936107278,510
1077,1987,18.546205,12.640365,0.042592,10.212486,23.269531,0.251713,0.556690566989262,510
1077,1988,18.546205,12.640365,0.042592,10.212486,26.307918,0.251713,0.561698882621922,510
1077,1989,18.546205,12.640365,0.042592,10.212486,5.553449,0.251713,0.574497648715413,510
1077,1990,18.546205,12.640365,0.042592,10.212486,19.350427,0.251713,0.575991675129792,510
1077,1991,18.546205,12.640365,0.042592,10.212486,3.815896,0.251713,0.583236718392055,510
1077,1992,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.598037457038883,510
1077,1993,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.612550692287838,510
1077,1994,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.63026391175539,510
1077,1995,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.653127563807359,510
1077,1996,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.658367439911557,510
1077,1997,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.697892273545084,510
1077,1998,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.72617568645333,510
1077,1999,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.776449561564425,510
1077,2000,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.819169362945463,510
1077,2001,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.814825137725797,510
1077,2002,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.866834050755414,510
1077,2003,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.859843838598483,510
1077,2004,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.830951147526743,510
1077,2005,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.846524770395756,510
1077,2006,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.846509632390759,510
1077,2007,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.839452526091525,510
1077,2008,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.842364001524275,510
1077,2009,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.828925485499956,510
1077,2010,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.804706124443694,510
1077,2011,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.815851280825375,510
1077,2012,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.82460631050298,510
1077,2013,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.833883558856492,510
1077,2014,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.883441871043068,510
1079,1980,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.488782462086844,510
1079,1981,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.489278728651034,510
1079,1982,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.493536493651271,510
1079,1983,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.513809031694541,510
1079,1984,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.521129944910412,510
1079,1985,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.53864253493546,510
1079,1986,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.552373913894626,510
1079,1987,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.567739753399475,510
1079,1988,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.566956967758439,510
1079,1989,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.569136151984535,510
1079,1990,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.556980704241826,510
1079,1991,18.546205,12.640365,0.042592,10.212486,3.072428,0.251713,0.565284598346669,510
1079,1992,21.375927,12.640365,0.037006,10.212486,3.072428,0.251713,0.576793201336378,510
1079,1993,21.597312,12.640365,0.051646,10.212486,3.072428,0.251713,0.60138855789791,510
1079,1994,19.364417,12.640365,0.051027,10.212486,3.072428,0.251713,0.613631492390537,510
1079,1995,18.795291,12.640365,0.052956,10.212486,3.072428,0.251713,0.633884094362298,510
1079,1996,18.238983,12.640365,0.048574,10.212486,3.072428,0.251713,0.635414728123432,510
1079,1997,21.586536,12.640365,0.055451,10.212486,4.235142,0.251713,0.656103363347261,510
1079,1998,20.857192,12.640365,0.0599,10.212486,9.088889,0.251713,0.684206408586019,510
1079,1999,22.516093,12.640365,0.055533,10.212486,7.753582,0.251713,0.730103935872643,510
1079,2000,18.927628,12.640365,0.058037,10.212486,1.218333,0.251713,0.761827098048209,510
1079,2001,16.559002,12.640365,0.051647,10.212486,1.218333,0.251713,0.773090530266235,510
1079,2002,15.390236,12.640365,0.0512,10.212486,1.218333,0.251713,0.79478937664872,510
