fips,year,parameter_85101,parameter_88101,parameter_44201,parameter_42602,parameter_42401,parameter_42101,mortality_rate,cause_id
1073,1980,28.677419,8.115652,0.062878,12.16129,11.106227,1.14495,40.0511480960425,509
1073,1981,28.677419,8.115652,0.060707,12.16129,20.28483,1.353458,40.6205959017505,509
1073,1982,28.677419,8.115652,0.050467,12.16129,13.881356,2.065746,40.1551332686202,509
1073,1983,28.677419,8.115652,0.05497,12.16129,40.673077,2.216657,38.3045284328279,509
1073,1984,28.677419,8.115652,0.050019,12.16129,40.673077,1.192255,40.0377815519083,509
1073,1985,28.677419,8.115652,0.052218,12.16129,4.53434,1.097514,43.2072062381756,509
1073,1986,28.677419,8.115652,0.052897,12.16129,5.53454,1.135352,42.5574825666423,509
1073,1987,28.677419,8.115652,0.053194,12.16129,8.370892,1.107027,40.983579219484,509
1073,1988,28.677419,8.115652,0.056022,12.16129,8.370892,1.211625,42.8486659511691,509
1073,1989,28.677419,8.115652,0.039815,12.16129,8.370892,0.949004,44.3331143523464,509
1073,1990,28.677419,8.115652,0.058302,12.16129,7.658351,0.826396,42.949098949865,509
1073,1991,28.677419,8.115652,0.038719,12.16129,21.635616,0.757459,44.1854047726659,509
1073,1992,28.677419,8.115652,0.046335,12.16129,21.508197,1.413691,41.783495960255,509
1073,1993,28.677419,8.115652,0.041829,12.16129,28.449315,0.915243,44.1347787636985,509
1073,1994,28.677419,8.115652,0.035113,12.16129,23.09863,0.931624,46.434355936354,509
1073,1995,28.677419,8.115652,0.048553,12.16129,5.582967,1.218525,45.7517190280247,509
1073,1996,28.677419,8.115652,0.045894,12.16129,12.401639,0.716037,46.2936898952831,509
1073,1997,28.677419,8.115652,0.053724,12.16129,5.727684,1.126047,49.3786646658048,509
1073,1998,33.481894,8.115652,0.048363,12.16129,6.481451,1.072602,51.0192526735044,509
1073,1999,29.339623,23.485311,0.050604,12.16129,8.685596,1.213912,51.3327845351177,509
1073,2000,29.339623,20.738483,0.049722,12.16129,9.710756,1.396021,51.8211441017077,509
