fips,year,parameter_85101,parameter_88101,parameter_44201,parameter_42602,parameter_42401,parameter_42101,mortality_rate,cause_id
1073,1980,28.677419,8.115652,0.062878,12.16129,11.106227,1.14495,0.324886857174568,511
1073,1981,28.677419,8.115652,0.060707,12.16129,20.28483,1.353458,0.278693950684405,511
1073,1982,28.677419,8.115652,0.050467,12.16129,13.881356,2.065746,0.262579004060065,511
1073,1983,28.677419,8.115652,0.05497,12.16129,40.673077,2.216657,0.252600159138161,511
1073,1984,28.677419,8.115652,0.050019,12.16129,40.673077,1.192255,0.224870441639564,511
1073,1985,28.677419,8.115652,0.052218,12.16129,4.53434,1.097514,0.217772266942875,511
1073,1986,28.677419,8.115652,0.052897,12.16129,5.53454,1.135352,0.210148912082989,511
1073,1987,28.677419,8.115652,0.053194,12.16129,8.370892,1.107027,0.208116119989928,511
1073,1988,28.677419,8.115652,0.056022,12.16129,8.370892,1.211625,0.197543267197596,511
1073,1989,28.677419,8.115652,0.039815,12.16129,8.370892,0.949004,0.186074721764525,511
1073,1990,28.677419,8.115652,0.058302,12.16129,7.658351,0.826396,0.172833923828902,511
1073,1991,28.677419,8.115652,0.038719,12.16129,21.635616,0.757459,0.175475237778847,511
1073,1992,28.677419,8.115652,0.046335,12.16129,21.508197,1.413691,0.145912670045572,511
1073,1993,28.677419,8.115652,0.041829,12.16129,28.449315,0.915243,0.141481830139819,511
1073,1994,28.677419,8.115652,0.035113,12.16129,23.09863,0.931624,0.132630072673106,511
1073,1995,28.677419,8.115652,0.048553,12.16129,5.582967,1.218525,0.123252636569537,511
1073,1996,28.677419,8.115652,0.045894,12.16129,12.401639,0.716037,0.113573871736952,511
1073,1997,28.677419,8.115652,0.053724,12.16129,5.727684,1.126047,0.106456866113959,511
1073,1998,33.481894,8.115652,0.048363,12.16129,6.481451,1.072602,0.103640602027749,511
1073,1999,29.339623,23.485311,0.050604,12.16129,8.685596,1.213912,0.0991970949159807,511
1073,2000,29.339623,20.738483,0.049722,12.16129,9.710756,1.396021,0.0932258829530129,511
1073,2001,29.339623,17.964045,0.048322,12.16129,4.09895,1.29798,0.0872236399953736,511
1073,2002,29.339623,16.570787,0.04649,12.16129,4.345055,0.269959,0.0894095234011916,511
1073,2003,35.709677,15.639665,0.04711,12.16129,21.28,0.556773,0.0799921352071794,511
1073,2004,36.056833,15.851105,0.048735,12.16129,10.473973,0.498177,0.0729062517120304,511
1073,2005,35.271865,19.602216,0.054988,12.16129,3.119726,0.442467,0.0649022627297559,511
1073,2006,32.019237,18.422527,0.049127,12.16129,2.572603,0.399977,0.0675608660332432,511
1073,2007,33.932889,17.716618,0.051151,12.16129,2.92011,0.513728,0.0567807728078294,511
1073,2008,30.716071,15.524309,0.045098,12.16129,2.734752,0.708999,0.0521040787557352,511
1073,2009,21.191413,11.341111,0.04022,12.16129,1.183043,0.511624,0.049316445659808,511
1073,2010,26.779225,13.823743,0.052053,12.16129,1.699178,0.245156,0.0448928577070785,511
1073,2011,22.595541,13.318487,0.053567,12.16129,8.433237,0.267261,0.0420186983465356,511
1073,2012,19.739198,10.653039,0.050249,12.16129,5.383621,0.431751,0.0395259235813143,511
1073,2013,19.681034,12.135574,0.045649,23.141935,1.073629,0.233864,0.0375366186335592,511
1073,2014,20.455845,11.65957,0.047612,28.600838,1.616741,0.43275,0.0354917072328854,511
1077,1980,18.546205,12.640365,0.042592,10.212486,37.669173,0.251713,0.0531802436859387,511
1077,1981,18.546205,12.640365,0.042592,10.212486,37.19883,0.251713,0.0487376653986623,511
1077,1982,18.546205,12.640365,0.042592,10.212486,6.897457,0.251713,0.0474949741433633,511
1077,1983,18.546205,12.640365,0.042592,10.212486,5.618154,0.251713,0.0458429391276877,511
1077,1984,18.546205,12.640365,0.042592,10.212486,28.112121,0.251713,0.0437038867612174,511
1077,1985,18.546205,12.640365,0.042592,10.212486,4.974046,0.251713,0.0423226646277773,511
1077,1986,18.546205,12.640365,0.042592,10.212486,5.056707,0.251713,0.0402399132783663,511
1077,1987,18.546205,12.640365,0.042592,10.212486,23.269531,0.251713,0.0393520259696908,511
1077,1988,18.546205,12.640365,0.042592,10.212486,26.307918,0.251713,0.0367298566020086,511
