fips,year,parameter_85101,parameter_88101,parameter_44201,parameter_42602,parameter_42401,parameter_42101,mortality_rate,cause_id
1073,1980,28.677419,8.115652,0.062878,12.16129,11.106227,1.14495,47.6187492846143,508
1073,1981,28.677419,8.115652,0.060707,12.16129,20.28483,1.353458,48.1252903541843,508
1073,1982,28.677419,8.115652,0.050467,12.16129,13.881356,2.065746,47.5839311215815,508
1073,1983,28.677419,8.115652,0.05497,12.16129,40.673077,2.216657,45.8140731271875,508
1073,1984,28.677419,8.115652,0.050019,12.16129,40.673077,1.192255,47.6486269257725,508
1073,1985,28.677419,8.115652,0.052218,12.16129,4.53434,1.097514,50.9421759105766,508
1073,1986,28.677419,8.115652,0.052897,12.16129,5.53454,1.135352,50.5982430841332,508
1073,1987,28.677419,8.115652,0.053194,12.16129,8.370892,1.107027,49.0229697160294,508
1073,1988,28.677419,8.115652,0.056022,12.16129,8.370892,1.211625,51.0873021844694,508
1073,1989,28.677419,8.115652,0.039815,12.16129,8.370892,0.949004,52.6705591407616,508
1073,1990,28.677419,8.115652,0.058302,12.16129,7.658351,0.826396,51.2220875863386,508
1073,1991,28.677419,8.115652,0.038719,12.16129,21.635616,0.757459,52.7674137422165,508
1073,1992,28.677419,8.115652,0.046335,12.16129,21.508197,1.413691,50.2594491861329,508
1073,1993,28.677419,8.115652,0.041829,12.16129,28.449315,0.915243,52.8739272134145,508
1073,1994,28.677419,8.115652,0.035113,12.16129,23.09863,0.931624,55.3464453678057,508
1073,1995,28.677419,8.115652,0.048553,12.16129,5.582967,1.218525,54.7732441679396,508
1073,1996,28.677419,8.115652,0.045894,12.16129,12.401639,0.716037,55.5162267483354,508
1073,1997,28.677419,8.115652,0.053724,12.16129,5.727684,1.126047,58.8928585646077,508
1073,1998,33.481894,8.115652,0.048363,12.16129,6.481451,1.072602,60.7996955812401,508
1073,1999,29.339623,23.485311,0.050604,12.16129,8.685596,1.213912,61.3970621080568,508
1073,2000,29.339623,20.738483,0.049722,12.16129,9.710756,1.396021,62.2011446289365,508
1073,2001,29.339623,17.964045,0.048322,12.16129,4.09895,1.29798,62.7109876054686,508
1073,2002,29.339623,16.570787,0.04649,12.16129,4.345055,0.269959,65.5084923215525,508
1073,2003,35.709677,15.639665,0.04711,12.16129,21.28,0.556773,65.2975421048176,508
1073,2004,36.056833,15.851105,0.048735,12.16129,10.473973,0.498177,65.2292120642986,508
1073,2005,35.271865,19.602216,0.054988,12.16129,3.119726,0.442467,62.288043017812,508
1073,2006,32.019237,18.422527,0.049127,12.16129,2.572603,0.399977,63.3609255290964,508
1073,2007,33.932889,17.716618,0.051151,12.16129,2.92011,0.513728,63.0593181267785,508
1073,2008,30.716071,15.524309,0.045098,12.16129,2.734752,0.708999,62.6184712630945,508
1073,2009,21.191413,11.341111,0.04022,12.16129,1.183043,0.511624,60.8418416113715,508
1073,2010,26.779225,13.823743,0.052053,12.16129,1.699178,0.245156,62.3926060375309,508
1073,2011,22.595541,13.318487,0.053567,12.16129,8.433237,0.267261,62.0910887796381,508
1073,2012,19.739198,10.653039,0.050249,12.16129,5.383621,0.431751,60.9067087650188,508
1073,2013,19.681034,12.135574,0.045649,23.141935,1.073629,0.233864,60.9430527592489,508
1073,2014,20.455845,11.65957,0.047612,28.600838,1.616741,0.43275,59.2385455210379,508
