Epochs,Training Loss,Testing Loss
0,2219.5615234375,3388.8232421875
1,1900.101318359375,1582.9974365234375
2,2070.9912109375,2963.586669921875
3,1283.2001953125,1117.4781494140625
4,2048.661865234375,2500.837890625
5,796.579833984375,2253.082275390625
6,1148.611083984375,686.9051513671875
7,1725.9835205078125,719.194091796875
8,1309.8192138671875,65.33990478515625
9,1825.515380859375,1206.0567626953125
10,1826.170166015625,1337.08251953125
11,1914.18994140625,3051.791259765625
12,652.6434326171875,315.81866455078125
13,1132.91162109375,1733.52734375
14,1426.718017578125,468.9030456542969
15,1056.6387939453125,1250.32080078125
16,806.726318359375,1776.181396484375
17,45933.91015625,983.4840698242188
18,762.1326904296875,428.5569152832031
19,758.738525390625,602.1431884765625
20,2568.123291015625,947.8888549804688
21,665.7754516601562,248.78009033203125
22,1088.42431640625,2203.22021484375
23,775.0675048828125,4.854499340057373
24,11836.8837890625,190.5328826904297
25,458.1489562988281,704.4824829101562
26,1690.792724609375,1602.57861328125
27,633.382568359375,66.12613677978516
28,274.6065673828125,249437.875
29,1120.48193359375,2686.81640625
30,1129.97412109375,71.86701965332031
31,37819084800.0,13009991.0
32,59460.96875,776.9524536132812
33,887.5787353515625,66.59232330322266
34,16450.912109375,2199.595947265625
35,1493.190673828125,92.82669067382812
36,35155.53125,1036.6253662109375
37,2333.249755859375,492.76898193359375
38,162.1531524658203,360.4521789550781
39,544.541015625,73.57748413085938
40,3043.3203125,53.87493133544922
41,194.40982055664062,171.5092315673828
42,1321.118408203125,32.80601501464844
43,71557.2265625,205.56198120117188
44,259.71527099609375,1272.6090087890625
45,313.093505859375,0.07131457328796387
46,828.384521484375,1383.31396484375
47,8874.591796875,1353.113525390625
48,1392.236572265625,0.004736586008220911
49,881.0931396484375,99.48613739013672
50,3095.870849609375,786.495361328125
51,543.335693359375,218.5956573486328
52,1791.207763671875,68.06608581542969
53,4367.712890625,480.4936828613281
54,5480.056640625,8.435117721557617
55,3215.087890625,918.1992797851562
56,10798.19921875,5786950.5
57,640.7578125,16767.546875
58,1855.97802734375,2230.409912109375
59,168550.140625,2625.268798828125
60,85063.28125,1599.853515625
61,14917.9296875,4967907.5
62,109291.9921875,1796013.875
63,163824.125,497008.40625
64,82292.9140625,289280.75
65,626491719680.0,2277052672.0
66,10238693376.0,1893404928.0
67,2975133440.0,14347940.0
68,79380488.0,218234320.0
69,82030488.0,5127643.0
70,1748847872.0,48013316.0
71,1537932160.0,90043440.0
72,23189262336.0,1262985856.0
73,1198757248.0,71673304.0
74,947745216.0,980993.375
75,23881117696.0,73220349952.0
76,3152754176.0,479735264.0
77,124571262976.0,574632832.0
78,62924357632.0,31693707264.0
79,13651251560448.0,19078088704.0
80,544173765689344.0,34184842182656.0
81,19603088474112.0,102087438368768.0
82,14240922468352.0,1223937367212032.0
83,69324408619008.0,31823656648704.0
84,5454003437568.0,192475267072.0
85,1501235511296.0,5289791717376.0
86,186113431961600.0,38047164923904.0
87,110532894720.0,49205874688.0
88,24573462446080.0,291582181376.0
89,1325663780864.0,13804740608.0
90,13971673317376.0,16353877557248.0
91,259844915200.0,13276160000.0
92,1621189591040.0,19531181326336.0
93,13187392995328.0,264666578944.0
94,836582703104.0,33793273856.0
