Epochs,Training Loss,Testing Loss
0,2430.90673828125,2818.142578125
1,2804.828369140625,1775.5673828125
2,3690.926025390625,1207.33984375
3,1966.599853515625,428.90081787109375
4,3301.326171875,3029.726806640625
5,1574.6016845703125,2992.1865234375
6,2866.411376953125,1280.5809326171875
7,1260.765625,2331.20361328125
8,25597242.0,2346.73583984375
9,1262.64599609375,4108.47998046875
10,2978.26123046875,2463.24951171875
11,1771.5106201171875,620.5394287109375
12,1697.80615234375,1737.2166748046875
13,2740.3095703125,395.0693664550781
14,1530.208740234375,4325.70361328125
15,1304.03369140625,304.46124267578125
16,999.551513671875,973.8226318359375
17,1551.0882568359375,59.52069854736328
18,1257.583251953125,26.67313575744629
19,5415.29296875,747.789794921875
20,2150.656982421875,6521764.0
21,2012.9544677734375,459.4994201660156
22,745.50537109375,342.2581787109375
23,42.15007400512695,856.6554565429688
24,589.0672607421875,324.5428161621094
25,859.912109375,72.43704986572266
26,1560.0242919921875,1168.4393310546875
27,2671.76171875,731.5728759765625
28,1066.6954345703125,68495.875
29,987.2933349609375,4011.76513671875
30,1501.2222900390625,1357.3814697265625
31,36187.30859375,1228.916748046875
32,8550.8134765625,5.465634346008301
33,45850.54296875,644.7177124023438
34,1088.212158203125,359.0130310058594
35,254299.28125,4894.7646484375
36,825.9014892578125,4.628298759460449
37,1012.7896728515625,0.1934209167957306
38,5112.96337890625,6307.91552734375
39,4289.1259765625,2.758652448654175
40,734.857666015625,398.5816650390625
41,547.94384765625,387.2702941894531
42,9482.880859375,1031.816650390625
43,2014.6485595703125,1809.6143798828125
44,34092.07421875,101.9444808959961
45,4165.1416015625,980.5490112304688
46,10028.0390625,64074.12109375
47,608641.5625,24248.32421875
48,187186.75,219.76776123046875
49,633225.5625,14649.021484375
50,62155.57421875,1747.9674072265625
51,24990.330078125,38223.5
52,3146.9501953125,284.2712097167969
53,139799.875,17686.158203125
54,1927072.875,8861850.0
55,97429.8828125,56951.73046875
56,287804.5625,3235.790283203125
57,139011.84375,17741.41015625
58,3623.76220703125,2920.886474609375
59,7921.400390625,792.1206665039062
60,2270297.0,1698.256103515625
61,11799853.0,91631.546875
62,6149439.0,121565.859375
63,10010078.0,18394.033203125
64,13602925568.0,1307108.25
65,335190912.0,201584.015625
66,28984910.0,964546.0
67,53519096.0,6103033.5
68,33533454.0,175327136.0
69,32906124.0,14722044.0
70,132316688.0,18351710.0
71,253772416.0,139670992.0
72,361497056.0,6505288.0
73,7608300.0,429581088.0
74,996892160.0,36445480.0
75,18611768.0,893149.375
76,21313142784.0,348370720.0
77,3330303414239232.0,365687104.0
78,688617600.0,818180544.0
79,92453992.0,427366240.0
80,16304909312.0,290698624.0
81,18258912.0,1606380672.0
82,93805088.0,1218816384.0
83,252063648.0,56383532.0
84,81152688.0,230069920.0
85,81740693504.0,4843107.0
86,210652704.0,134320240.0
87,184576896.0,74764072.0
88,19906048000.0,6784312.0
89,286761184.0,3753331.0
90,799994176.0,14474014.0
91,57820392.0,62280580.0
92,27983690.0,9347230.0
93,118880215040.0,155858352.0
94,771969152.0,210203360.0
95,497578752.0,19487256576.0
96,573070464.0,499419744.0
97,275679232.0,133177192.0
98,1979968896.0,138464928.0
99,93264360.0,38152592.0
100,538666048.0,42407932.0
101,120234656.0,63614940.0
102,63116099584.0,144373408.0
103,20689308.0,36921000.0
104,117422208.0,2028796.5
105,49903632.0,125266.8046875
106,61072504.0,77257952.0
107,1463086976.0,744828416.0
108,123348976.0,39238392.0
109,67244768.0,4595919360.0
110,444896416.0,24522454.0
111,47647468.0,233678896.0
112,25698064.0,10303207.0
113,625544000.0,206669776.0
114,1648120832.0,65317184.0
115,116646816.0,185409280.0
116,5213103104.0,211637456.0
117,248049232.0,354406.9375
118,106554000.0,84958256.0
119,164933952.0,436772352.0
120,115299584.0,365579328.0
121,99619192.0,59381128.0
122,133405920.0,43609804.0
123,70808120.0,363623.125
124,46242428.0,28894956.0
125,125612984.0,9215093.0
126,37122180.0,150460288.0
127,218322528.0,34503892.0
128,23463052.0,6562785.5
129,18736996.0,15693445.0
130,42426828.0,5330295.0
131,350879328.0,4848925.5
132,67491816.0,17681096.0
133,669667392.0,113209472.0
134,32563814.0,48541.6328125
135,91391400.0,2526980.25
136,16048805.0,69607128.0
137,6713763328.0,723980.1875
138,48131988.0,1185091.375
139,80700504.0,2715522.25
140,1095271680.0,117725424.0
141,1124920064.0,12930925.0
142,69654085632.0,37940944.0
143,313798752.0,372129952.0
144,20071667712.0,387698112.0
145,390518964224.0,8292451328.0
146,1174727296.0,54191964.0
147,13352839168.0,259497088.0
148,895511166976.0,129881538560.0
149,42316955648.0,15894535168.0
