Epochs,Training Loss,Testing Loss
0,12.223100662231445,9.160590171813965
1,20.639507293701172,41.773902893066406
2,20.54621124267578,21.361454010009766
3,17.116607666015625,21.144512176513672
4,6.250576972961426,64.3651123046875
5,11.698198318481445,0.8508182168006897
6,11.897832870483398,11.626791954040527
7,10.165468215942383,2.3290398120880127
8,15.92684555053711,0.016715746372938156
9,5.8094682693481445,11.930761337280273
10,5.52459716796875,1.8792717456817627
11,5.218607425689697,0.5382601022720337
12,5.291296005249023,1.278243064880371
13,4.2327752113342285,21.299991607666016
14,10.596031188964844,11.538263320922852
15,8.562447547912598,15.254674911499023
16,4.393782138824463,1.260119915008545
17,99441.8828125,0.18426825106143951
18,5.445969581604004,3.921015739440918
19,14.155677795410156,2.5483860969543457
20,2.464327096939087,0.577239453792572
21,7.676316738128662,9.298307418823242
22,2.706017255783081,0.5858308672904968
23,2.2484054565429688,0.00011551755596883595
24,1.0168969631195068,0.0026597289834171534
25,3.9248456954956055,0.022862177342176437
26,4.397309303283691,0.1419597864151001
27,2.764136791229248,0.8718501925468445
28,3.7950692176818848,0.40490177273750305
29,2.549858570098877,7.6035943031311035
30,7.834886074066162,14.492569923400879
31,6.2991743087768555,25.187129974365234
32,7.061466217041016,33.67160415649414
33,3.7654590606689453,1.5696147680282593
34,204.5946807861328,3.9876346588134766
35,1.8012274503707886,0.364318311214447
36,3.1946165561676025,90.87435913085938
37,1.3853930234909058,0.24678602814674377
38,1.7252326011657715,2.5862743854522705
39,7.7549567222595215,3.7224090099334717
40,5.187920570373535,9.933774948120117
41,150.2765350341797,0.028607485815882683
42,9.537343978881836,0.7280779480934143
43,2.7323293685913086,0.3429694175720215
44,0.9727542400360107,0.9029033184051514
45,1.660752773284912,23.77882957458496
46,71.7739486694336,2.732412576675415
47,3.503227710723877,17.01602554321289
48,11.306039810180664,274.6501770019531
49,2.602444648742676,9.570782661437988
50,4.430712699890137,0.2292378544807434
51,1.3260823488235474,3.2772884368896484
52,2.441074848175049,0.018264608457684517
53,4.428406715393066,0.6531450152397156
54,7.234766960144043,11.528424263000488
55,4.44218635559082,6.989995002746582
56,5.098597049713135,11.86833381652832
57,5.244138717651367,0.2259550392627716
58,5.487768173217773,31.353147506713867
59,3.44411301612854,1.331352949142456
60,5.659091949462891,3.6051676273345947
61,4.370028018951416,32.214298248291016
62,0.9029289484024048,3.788686990737915
63,5.218118190765381,3.737156629562378
64,6.461843013763428,0.0013953741872683167
65,3.9855096340179443,0.4772889018058777
66,0.3416813611984253,0.8590409159660339
67,3.087930679321289,7.284163951873779
68,349.0990905761719,8.653139114379883
69,4.346062660217285,0.5345230102539062
70,1.115065336227417,5.918666839599609
71,4.052846908569336,3.4105684757232666
72,4.8367600440979,6.553693771362305
73,3.9197120666503906,2.6653783321380615
74,4.541569232940674,0.8675562739372253
75,3.951812744140625,2.493762731552124
76,3.3998231887817383,13.214578628540039
77,3.3792665004730225,163.10157775878906
78,5.091556072235107,0.3076602518558502
79,1.5136044025421143,2.4021708965301514
80,1.972096562385559,0.08248875290155411
81,0.5774341225624084,0.005908221937716007
82,0.8295938372612,0.1233559176325798
83,1.2880573272705078,0.18217656016349792
84,9.267526626586914,5.5662522315979
85,0.6073718070983887,0.008070357143878937
86,4.390747547149658,0.4215797781944275
87,1.1069340705871582,5.162040710449219
88,2.0513288974761963,5.775476455688477
89,2.660372734069824,6.359663009643555
90,2.5867533683776855,1.6527776718139648
91,3.982109546661377,0.23306545615196228
92,2.740017890930176,1.1331325769424438
93,3.0926437377929688,2.829047441482544
94,0.38006865978240967,0.04971615597605705
95,1.7505090236663818,0.9517865180969238
96,1.6189274787902832,1.9463921785354614
97,1.3021464347839355,1.3437671661376953
98,3.352696180343628,4.019870758056641
99,1.4391162395477295,6.336682319641113
100,0.46088817715644836,1.57021164894104
101,0.5442847013473511,0.9280548095703125
102,1.0382168292999268,2.104996919631958
103,3.6124730110168457,0.041430216282606125
104,0.8146363496780396,0.7804207801818848
105,5.019510269165039,5.519667148590088
106,2.5325119495391846,0.49578922986984253
107,1.8712351322174072,0.3595602810382843
108,1.0795725584030151,7.792189121246338
109,3.22273588180542,2.3446156978607178
110,1.1887332201004028,11.651348114013672
111,2.6941771507263184,0.03738010302186012
112,1.5560675859451294,8.80884838104248
113,0.6356959939002991,1.6554710865020752
114,1.3446784019470215,2.627869129180908
115,2.1729984283447266,0.5451024770736694
116,0.4477211534976959,5.108081817626953
117,1.7333494424819946,0.37582123279571533
118,22.443368911743164,1.2307562828063965
119,0.5410525798797607,6.182666778564453
120,2.115095376968384,0.4102238416671753
121,3.496601104736328,1.24081289768219
122,1.695757269859314,6.3062567710876465
123,0.34361016750335693,1.0806727409362793
124,1.834550380706787,14.173956871032715
125,2.6373138427734375,3.039215326309204
126,1.417531132698059,0.0005735159502364695
127,10.308858871459961,6.870752334594727
128,0.14198336005210876,6.006100177764893
129,6.759040832519531,4.747161388397217
130,1.5566842555999756,1.2140541076660156
131,4.038030624389648,0.2729751467704773
132,1.5391649007797241,0.06040850654244423
133,1.6306614875793457,0.10409130156040192
134,0.35610634088516235,0.9682611227035522
135,1.6921515464782715,0.7071039080619812
136,1.4405250549316406,7.933950424194336
137,0.6722957491874695,2.362126350402832
138,1.5336116552352905,1.0317522287368774
139,2.679845094680786,2.43607759475708
140,5.1348161697387695,3.0010294914245605
141,5.124615669250488,3.8215510845184326
142,1.0985898971557617,2.1658201217651367
143,2.253061294555664,0.052368778735399246
144,2.259185314178467,0.07686217129230499
145,1.6214702129364014,0.8075365424156189
