Epochs,Training Loss,Testing Loss
0,1.9583195447921753,0.2151442915201187
1,2.39628529548645,0.00044292837264947593
2,1.4088534116744995,0.14509427547454834
3,2.8723788261413574,2.7076644897460938
4,1.6760826110839844,0.34295475482940674
5,0.06806335598230362,0.03157984837889671
6,0.37864112854003906,0.7603110074996948
7,0.7335746884346008,0.014777755364775658
8,1.7646660804748535,0.4059285819530487
9,0.5566269159317017,0.6587860584259033
10,0.5129625797271729,0.44583433866500854
11,0.20775848627090454,0.3120003342628479
12,1.2658071517944336,0.0738288089632988
13,1.140555739402771,0.003119145752862096
14,0.33956488966941833,0.059794552624225616
15,0.45113125443458557,0.8135761618614197
16,0.2333182990550995,0.036471158266067505
17,0.9437723755836487,0.08312172442674637
18,0.5032013058662415,0.04601718485355377
19,0.11903204023838043,0.8130629062652588
20,0.5642069578170776,1.1164093017578125
21,0.20857670903205872,0.45446550846099854
22,0.28506121039390564,0.9645000696182251
23,0.368650883436203,0.6614072918891907
24,0.4663287103176117,0.3748716413974762
25,0.25588884949684143,0.01659589819610119
26,0.43471410870552063,0.4595782458782196
27,0.6223633289337158,0.09401772916316986
28,1.1577684879302979,0.34798893332481384
29,1.0468348264694214,0.2002018392086029
30,0.3745548129081726,0.6090882420539856
31,0.12183962017297745,0.004982530139386654
32,1.4465405941009521,0.44106703996658325
33,0.668616771697998,0.21209406852722168
34,0.0529659166932106,0.21861083805561066
35,0.1566448211669922,0.10579479485750198
36,0.1154697984457016,0.08661618828773499
37,0.13460294902324677,0.485299676656723
38,0.5463268756866455,0.9757817983627319
39,0.30802085995674133,0.3633989095687866
40,0.1087588220834732,0.3038804829120636
41,0.15272971987724304,0.01868126168847084
42,0.060296669602394104,0.5497673153877258
43,0.16887076199054718,0.6725133061408997
44,0.1581995189189911,0.4259948134422302
45,0.4571170210838318,0.45080479979515076
46,0.8587671518325806,0.14620034396648407
47,0.13270318508148193,0.29619497060775757
48,0.3630555272102356,0.15843930840492249
49,0.8765690326690674,1.1580699682235718
50,0.779002845287323,0.05789323151111603
51,0.5502814054489136,0.02160930261015892
52,0.10073313117027283,0.00028263821150176227
53,0.4203636348247528,0.35467320680618286
54,0.23373058438301086,0.0487021878361702
55,0.44038015604019165,0.007877071388065815
56,0.18167853355407715,0.49183809757232666
57,0.10844908654689789,0.27987611293792725
58,0.18292629718780518,0.25503185391426086
59,0.24488934874534607,0.6173229217529297
60,0.34083718061447144,0.049021825194358826
61,0.14037464559078217,0.07908560335636139
62,0.7401376962661743,0.03443450108170509
63,0.7360104918479919,6.902461336721899e-06
64,0.32495516538619995,0.7365339398384094
65,0.0822310745716095,0.11075157672166824
66,0.6208858489990234,0.039318446069955826
67,0.6783400177955627,0.18950527906417847
68,0.021689068526029587,0.31052732467651367
69,0.7842857837677002,0.8368951082229614
70,0.3850476145744324,0.6369084119796753
71,0.9983038306236267,0.018075445666909218
72,0.7578295469284058,0.8059384226799011
73,0.7588481307029724,0.3244028687477112
74,0.08474479615688324,0.09699159860610962
75,0.2817123830318451,1.218292474746704
76,0.3958912491798401,0.0786786749958992
77,0.2885270118713379,1.9615740776062012
78,0.3632807433605194,0.16794702410697937
79,0.15510642528533936,2.5553200244903564
80,0.25988519191741943,0.37749895453453064
81,0.5926277041435242,0.026019440963864326
82,0.5487501621246338,0.019462285563349724
83,0.24016809463500977,0.10539285838603973
84,0.844954252243042,0.08273319154977798
85,0.4955309331417084,0.02821502275764942
86,0.3462008833885193,0.16199254989624023
87,0.17338916659355164,0.6582789421081543
88,0.5693158507347107,0.9042600393295288
89,0.45912015438079834,0.11345679312944412
90,0.08792642503976822,0.13234250247478485
91,0.6898517608642578,0.031326524913311005
92,0.34132862091064453,0.050292640924453735
93,0.6694871783256531,0.08444881439208984
94,0.18222972750663757,1.4847286939620972
95,0.07033362239599228,0.29729124903678894
96,0.25370466709136963,0.8893699049949646
97,0.40903452038764954,0.7845200896263123
98,0.09353658556938171,0.0013178071239963174
99,0.5421494841575623,0.007214978337287903
100,0.4085139334201813,0.1281207650899887
101,0.32638469338417053,0.02923663891851902
102,0.03418391942977905,0.36915960907936096
103,0.4220539331436157,0.02541523426771164
104,0.07771333307027817,0.4309443235397339
105,0.2598313093185425,0.7017097473144531
106,0.1364010125398636,0.5345983505249023
107,0.3657275438308716,4.472135697142221e-05
108,0.11631651967763901,0.074454165995121
109,0.5800246596336365,0.04120714217424393
110,0.16503670811653137,0.44320327043533325
111,0.3059428036212921,0.2729697823524475
112,0.2727247178554535,0.43968233466148376
113,0.2886190414428711,0.023352237418293953
114,0.3830810785293579,0.3059784173965454
115,0.3976707458496094,0.7558725476264954
116,0.5479061007499695,0.42507439851760864
117,0.18222680687904358,1.2574714422225952
118,0.4053875207901001,0.6255725622177124
119,0.17428773641586304,0.034669071435928345
120,0.2744349241256714,0.7397283911705017
121,0.15954531729221344,0.9261792898178101
122,0.20950478315353394,1.0631859302520752
123,0.38277727365493774,0.6695481538772583
124,0.06723873317241669,0.011717215180397034
125,0.8802207708358765,0.7090326547622681
126,0.07245142757892609,0.16963768005371094
127,0.2675694525241852,0.0023836735635995865
128,0.23622003197669983,0.0021240031346678734
129,0.2280251830816269,0.002394301351159811
130,1.0275764465332031,0.4682615101337433
131,0.27997687458992004,0.42004460096359253
132,0.16840387880802155,0.21790477633476257
133,0.2962827682495117,0.08485940843820572
134,0.7843517661094666,0.00015542973414994776
135,0.5917856097221375,0.31499403715133667
136,0.08218112587928772,0.2189391404390335
137,0.5187978148460388,0.008917221799492836
138,0.5127722024917603,0.6811023354530334
139,0.13015753030776978,0.06755543500185013
140,0.30090001225471497,0.03831306844949722
141,0.8530699014663696,0.0613718144595623
142,0.35084372758865356,0.3149564266204834
143,0.43823590874671936,0.3952834904193878
144,0.49165022373199463,0.08236923813819885
145,0.23556791245937347,0.12126994878053665
146,0.2750239670276642,0.6142286658287048
147,0.6716620922088623,0.05712081119418144
148,0.31371450424194336,0.23045964539051056
149,0.06961437314748764,0.0028453038539737463
